total words in file : 73046
unique words in file : 7152
The file is Sorted in Ascending order by Alphabetics
1.  [', 119] 
2.  [a, 1308] 
3.  [abandon, 2] 
4.  [abandoned, 3] 
5.  [abbey, 1] 
6.  [abhor, 5] 
7.  [abhorred, 12] 
8.  [abhorrence, 6] 
9.  [abhorrent, 1] 
10.  [abide, 1] 
11.  [ability, 2] 
12.  [abject, 2] 
13.  [able, 9] 
14.  [aboard, 1] 
15.  [abode, 6] 
16.  [abortion, 1] 
17.  [abortive, 1] 
18.  [about, 59] 
19.  [above, 12] 
20.  [abroad, 3] 
21.  [abrupt, 1] 
22.  [absence, 8] 
23.  [absent, 5] 
24.  [absolute, 1] 
25.  [absolutely, 2] 
26.  [absolution, 1] 
27.  [absorbed, 2] 
28.  [absorbing, 1] 
29.  [abstained, 1] 
30.  [abyss, 1] 
31.  [accent, 4] 
32.  [accents, 6] 
33.  [accept, 4] 
34.  [acceptance, 1] 
35.  [accepted, 2] 
36.  [accepting, 1] 
37.  [access, 12] 
38.  [accessed, 1] 
39.  [accessible, 1] 
40.  [accident, 6] 
41.  [accidentally, 1] 
42.  [accidents, 5] 
43.  [accompanied, 9] 
44.  [accompany, 6] 
45.  [accomplish, 2] 
46.  [accomplished, 2] 
47.  [accomplishments, 1] 
48.  [accordance, 1] 
49.  [accorded, 1] 
50.  [according, 2] 
51.  [accordingly, 9] 
52.  [account, 20] 
53.  [accounted, 1] 
54.  [accounts, 3] 
55.  [accumulated, 3] 
56.  [accumulation, 2] 
57.  [accuracy, 2] 
58.  [accurate, 1] 
59.  [accursed, 3] 
60.  [accusation, 1] 
61.  [accusations, 1] 
62.  [accuse, 2] 
63.  [accused, 6] 
64.  [accuses, 1] 
65.  [accustomed, 10] 
66.  [achieve, 1] 
67.  [achieved, 1] 
68.  [achievements, 1] 
69.  [aching, 1] 
70.  [acknowledged, 1] 
71.  [acme, 1] 
72.  [acorns, 2] 
73.  [acquaintance, 1] 
74.  [acquaintances, 1] 
75.  [acquainted, 19] 
76.  [acquiesced, 1] 
77.  [acquire, 2] 
78.  [acquired, 3] 
79.  [acquirement, 2] 
80.  [acquiring, 1] 
81.  [acquisition, 1] 
82.  [acquit, 1] 
83.  [acquittal, 1] 
84.  [acquitted, 2] 
85.  [across, 15] 
86.  [act, 11] 
87.  [acted, 4] 
88.  [acting, 1] 
89.  [action, 5] 
90.  [actions, 4] 
91.  [active, 5] 
92.  [activity, 2] 
93.  [actor, 1] 
94.  [acts, 1] 
95.  [actual, 3] 
96.  [actually, 2] 
97.  [actuated, 1] 
98.  [acuteness, 1] 
99.  [adam, 2] 
100.  [adam', 1] 
101.  [adapt, 1] 
102.  [add, 4] 
103.  [added, 7] 
104.  [addition, 1] 
105.  [additional, 7] 
106.  [additions, 1] 
107.  [address, 3] 
108.  [addressed, 12] 
109.  [addresses, 1] 
110.  [adduced, 1] 
111.  [adequate, 2] 
112.  [adieu, 2] 
113.  [adjacent, 1] 
114.  [adjuration, 1] 
115.  [admirable, 3] 
116.  [admiration, 14] 
117.  [admire, 2] 
118.  [admired, 3] 
119.  [admission, 1] 
120.  [admit, 1] 
121.  [admittance, 1] 
122.  [adopted, 1] 
123.  [adoration, 1] 
124.  [adored, 3] 
125.  [adorned, 1] 
126.  [adorns, 1] 
127.  [adrift, 1] 
128.  [advance, 2] 
129.  [advanced, 11] 
130.  [advancement, 1] 
131.  [advancing, 4] 
132.  [advantage, 4] 
133.  [advantages, 2] 
134.  [adventure, 1] 
135.  [adventurer, 1] 
136.  [adventurous, 2] 
137.  [adversary, 5] 
138.  [adversary', 2] 
139.  [adversity, 2] 
140.  [advice, 2] 
141.  [advise, 1] 
142.  [advocate, 1] 
143.  [aerial, 2] 
144.  [affability, 1] 
145.  [affair, 1] 
146.  [affairs, 2] 
147.  [affectation, 1] 
148.  [affected, 3] 
149.  [affecting, 1] 
150.  [affection, 37] 
151.  [affectionate, 7] 
152.  [affectionately, 1] 
153.  [affections, 8] 
154.  [affirm, 1] 
155.  [affirmative, 2] 
156.  [afflicted, 2] 
157.  [affluence, 1] 
158.  [afford, 10] 
159.  [afforded, 5] 
160.  [affording, 1] 
161.  [affords, 1] 
162.  [affright, 2] 
163.  [afraid, 1] 
164.  [africa, 1] 
165.  [after, 75] 
166.  [afternoon, 2] 
167.  [afterwards, 15] 
168.  [again, 75] 
169.  [against, 19] 
170.  [agatha, 21] 
171.  [age, 12] 
172.  [aged, 4] 
173.  [agent, 1] 
174.  [agents, 1] 
175.  [ages, 4] 
176.  [aggravation, 1] 
177.  [agile, 1] 
178.  [agitated, 7] 
179.  [agitates, 2] 
180.  [agitation, 13] 
181.  [ago, 7] 
182.  [agonies, 4] 
183.  [agonized, 1] 
184.  [agonizing, 1] 
185.  [agony, 25] 
186.  [agree, 10] 
187.  [agreeable, 5] 
188.  [agreed, 5] 
189.  [agreement, 16] 
190.  [agrippa, 8] 
191.  [ah, 7] 
192.  [aid, 10] 
193.  [aided, 2] 
194.  [aiguilles, 1] 
195.  [aim, 2] 
196.  [aimed, 1] 
197.  [air, 26] 
198.  [airs, 3] 
199.  [airy, 2] 
200.  [ak, 1] 
201.  [akin, 2] 
202.  [al, 2] 
203.  [alarm, 4] 
204.  [alarmed, 5] 
205.  [alas, 20] 
206.  [albatross, 1] 
207.  [albertus, 3] 
208.  [alchemists, 2] 
209.  [alighted, 2] 
210.  [alighting, 1] 
211.  [alike, 3] 
212.  [alive, 8] 
213.  [all, 208] 
214.  [alleged, 1] 
215.  [alleging, 2] 
216.  [alleviate, 1] 
217.  [alleviated, 1] 
218.  [allied, 1] 
219.  [allotted, 1] 
220.  [allow, 13] 
221.  [allowed, 20] 
222.  [allowing, 1] 
